Player,Matches,Innings,Runs,Balls_Faced,Outs,Batting_Average,Strike_Rate,Fours,Sixes,Dot_Balls,Dot_Ball_Percentage,Boundary_Percentage,Six_Percentage,Singles_Percentage,Doubles_Percentage,Triples_Percentage
"C Munro",11,11,177,144,9,19.67,122.92,19,8,68,47.22,70.06,27.12,31.25,2.78,0.00
"MF Maharoof",14,14,177,124,10,17.70,142.74,12,9,44,35.48,57.63,30.51,34.68,12.90,0.00
"Sameer Rizvi",9,9,172,126,7,24.57,136.51,15,9,50,39.68,66.28,31.40,36.51,4.76,0.00
"DH Yagnik",17,17,170,142,9,18.89,119.72,23,2,62,43.66,61.18,7.06,30.99,7.75,0.00
"CM Gautam",13,13,169,158,9,18.78,106.96,17,6,84,53.16,61.54,21.30,25.32,5.06,1.90
"DW Steyn",33,33,167,163,20,8.35,102.45,14,3,72,44.17,44.31,10.78,33.74,11.66,0.00
"MG Johnson",28,28,167,168,13,12.85,99.40,10,7,80,47.62,49.10,25.15,34.52,7.14,0.60
"MN van Wyk",5,5,167,135,3,55.67,123.70,19,1,44,32.59,49.10,3.59,42.96,8.89,0.74
"PA Reddy",10,10,164,167,10,16.40,98.20,15,2,72,43.11,43.90,7.32,38.92,7.19,0.60
"N Jagadeesan",10,10,162,155,9,18.00,104.52,21,2,73,47.10,59.26,7.41,33.55,4.52,0.00
"MN Samuels",14,14,161,174,11,14.64,92.53,9,7,86,49.43,48.45,26.09,35.06,6.32,0.00
"R McLaren",13,13,159,178,8,19.88,89.33,14,1,76,42.70,38.99,3.77,43.82,4.49,0.56
"RE van der Merwe",15,15,159,144,11,14.45,110.42,11,8,66,45.83,57.86,30.19,36.81,2.78,1.39
"AD Hales",6,6,148,119,6,24.67,124.37,13,6,48,40.34,59.46,24.32,36.97,6.72,0.00
"D Wiese",11,11,148,105,5,29.60,140.95,12,7,34,32.38,60.81,28.38,43.81,5.71,0.00
"SM Pollock",8,8,147,116,8,18.38,126.72,12,8,47,40.52,65.31,32.65,40.52,1.72,0.00
"S Vidyut",8,8,145,115,8,18.13,126.09,21,3,55,47.83,70.34,12.41,26.09,4.35,0.87
"Sachin Baby",11,11,144,123,9,16.00,117.07,11,5,50,40.65,51.39,20.83,35.77,10.57,0.00
"V Nigam",8,8,142,82,5,28.40,173.17,16,8,30,36.59,78.87,33.80,31.71,2.44,0.00
"M Jansen",20,20,141,136,11,12.82,103.68,8,6,57,41.91,48.23,25.53,41.91,5.88,0.00
"N Saini",10,10,140,143,10,14.00,97.90,16,0,68,47.55,45.71,0.00,30.07,10.49,0.70
"Anmolpreet Singh",9,9,139,117,9,15.44,118.80,19,3,55,47.01,67.63,12.95,29.91,4.27,0.00
"SB Dubey",11,11,139,87,6,23.17,159.77,9,10,29,33.33,69.06,43.17,40.23,4.60,0.00
"S Anirudha",12,12,136,121,8,17.00,112.40,9,7,54,44.63,57.35,30.88,36.36,5.79,0.00
"SB Styris",10,10,131,134,7,18.71,97.76,10,3,53,39.55,44.27,13.74,47.01,3.73,0.00
"W Jaffer",8,8,130,129,7,18.57,100.78,14,3,64,49.61,56.92,13.85,31.78,4.65,0.78
"RD Chahar",22,22,129,127,15,8.60,101.57,13,5,70,55.12,63.57,23.26,24.41,6.30,0.00
"Kamran Akmal",6,6,128,78,4,32.00,164.10,13,8,33,42.31,78.13,37.50,25.64,5.13,0.00
"P Dogra",12,12,127,141,8,15.88,90.07,4,5,63,44.68,36.22,23.62,41.13,7.09,0.71
"TK Curran",10,10,127,108,5,25.40,117.59,10,3,37,34.26,45.67,14.17,43.52,10.19,0.00
"UT Khawaja",6,6,127,105,5,25.40,120.95,14,3,43,40.95,58.27,14.17,36.19,5.71,0.95
"M Morkel",20,20,126,93,10,12.60,135.48,11,5,35,37.63,58.73,23.81,35.48,8.60,1.08
"SS Prabhudessai",10,10,126,113,9,14.00,111.50,11,4,56,49.56,53.97,19.05,24.78,10.62,1.77
"BB Samantray",8,8,125,116,5,25.00,107.76,13,2,48,41.38,51.20,9.60,38.79,6.90,0.00
"MC Juneja",7,7,125,134,7,17.86,93.28,11,1,54,40.30,40.00,4.80,45.52,5.22,0.00
"MM Sharma",30,30,125,140,17,7.35,89.29,9,4,71,50.71,48.00,19.20,34.29,5.00,0.71
"B Lee",19,19,124,102,9,13.78,121.57,8,8,46,45.10,64.52,38.71,35.29,3.92,0.00
"AB McDonald",9,9,123,103,5,24.60,119.42,9,4,38,36.89,48.78,19.51,40.78,8.74,0.97
"Harpreet Singh",8,8,123,119,6,20.50,103.36,10,3,49,41.18,47.15,14.63,41.18,6.72,0.00
"DL Vettori",16,16,121,118,7,17.29,102.54,11,2,46,38.98,46.28,9.92,45.76,3.39,0.85
"NK Patel",6,6,121,124,4,30.25,97.58,14,1,61,49.19,51.24,4.96,30.65,7.26,0.81
"AC Blizzard",7,7,120,91,7,17.14,131.87,21,2,48,52.75,80.00,10.00,18.68,2.20,1.10
"TG Southee",19,19,120,108,11,10.91,111.11,8,4,47,43.52,46.67,20.00,34.26,10.19,0.00
"Arshad Khan",10,10,119,90,5,23.80,132.22,5,9,39,43.33,62.18,45.38,32.22,8.89,0.00
"DL Chahar",16,16,117,86,8,14.63,136.05,5,8,33,38.37,58.12,41.03,36.05,10.47,0.00
Misbah-ul-Haq,8,8,117,82,7,16.71,142.68,10,6,31,37.80,64.96,30.77,35.37,7.32,0.00
"MW Short",6,6,117,99,6,19.50,118.18,15,4,52,52.53,71.79,20.51,23.23,5.05,0.00
"RJ Harris",21,21,117,112,12,9.75,104.46,6,3,46,41.07,35.90,15.38,35.71,14.29,0.89
"Z Khan",27,27,117,141,14,8.36,82.98,11,2,74,52.48,47.86,10.26,33.33,4.96,0.00
"KK Cooper",12,12,116,70,9,12.89,165.71,9,8,29,41.43,72.41,41.38,22.86,11.43,0.00
"Aman Hakim Khan",10,10,115,109,9,12.78,105.50,8,6,55,50.46,59.13,31.30,30.28,6.42,0.00
"DJM Short",7,7,115,102,7,16.43,112.75,11,5,48,47.06,64.35,26.09,34.31,2.94,0.00
"M Kartik",14,14,113,109,6,18.83,103.67,7,1,32,29.36,30.09,5.31,55.05,7.34,0.92
"Mohammed Siraj",21,21,112,127,9,12.44,88.19,10,4,71,55.91,57.14,21.43,28.35,4.72,0.00
"DJ Harris",4,4,111,103,3,37.00,107.77,11,5,52,50.49,66.67,27.03,32.04,1.94,0.00
"MA Starc",21,21,111,120,10,11.10,92.50,11,0,51,42.50,39.64,0.00,40.83,7.50,0.00
"MJ Santner",19,19,110,111,8,13.75,99.10,6,6,54,48.65,54.55,32.73,36.04,4.50,0.00
"JDP Oram",11,11,106,110,8,13.25,96.36,6,5,50,45.45,50.94,28.30,41.82,2.73,0.00
"LJ Wright",5,5,106,63,4,26.50,168.25,16,3,22,34.92,77.36,16.98,31.75,3.17,0.00
"DS Kulkarni",20,20,104,113,8,13.00,92.04,7,2,50,44.25,38.46,11.54,39.82,7.08,0.88
"RJ Quiney",7,7,103,105,7,14.71,98.10,12,3,57,54.29,64.08,17.48,28.57,1.90,0.95
