player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
3505,SE Rutherford,Left hand Bat,Right arm Fast medium,Unknown,Sherfane Eviston Rutherford,Sherfane Eviston,No Image
34817,Azhar Mahmood,Right hand Bat,Right arm Fast medium,Unknown,Azhar Mahmood Sagar,Azhar Mahmood,No Image
4146,TU Deshpande,Left hand Bat,Right arm Medium,Unknown,Tushar Uday Deshpande,Tushar Uday,No Image
11987,DJ Thornely,Right hand Bat,"Right arm Medium, Right arm Offbreak",Unknown,Dominic John Thornely,Dominic John,No Image
11928,M Kartik,Left hand Bat,Slow Left arm Orthodox,Unknown,Murali Kartik,Murali Kartik,No Image
297,Mustafizur Rahman,Left hand Bat,Left arm Fast medium,Unknown,Mustafizur Rahman,Mustafizur Rahman,No Image
8400,RJW Topley,Right hand Bat,Left arm Fast medium,Unknown,Reece James William Topley,Reece James,No Image
13458,KP Appanna,Right hand Bat,Slow Left arm Orthodox,Unknown,Kotarangada Prabhu Appanna,Kotarangada Prabhu,No Image
6245,NT Ellis,Right hand Bat,Right arm Fast medium,Unknown,Nathan Ellis,Nathan Ellis,https://www.espncricinfo.com/cricketers/nathan-ellis-826915
1416,R Ashwin,Right hand Bat,Right arm Offbreak,Unknown,Ravichandran Ashwin,Ravichandran Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
7947,T Stubbs,Right hand Bat,Right arm Offbreak,Wicketkeeper,Tristan Stubbs,Tristan Stubbs,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
1443,DJM Short,Left hand Bat,Left arm Wrist spin,Unknown,D'Arcy John Matthew Short,D'Arcy John,No Image
811,IK Pathan,Left hand Bat,Left arm Medium fast,Unknown,Irfan Khan Pathan,Irfan Khan,No Image
634,AD Nath,Right hand Bat,Right arm Medium fast,Unknown,Akshdeep Deependra Nath,Akshdeep Deependra,No Image
14485,AA Jhunjhunwala,Right hand Bat,Right arm Offbreak,Unknown,Abhishek Arunkumar Jhunjhunwala,Abhishek Arunkumar,No Image
180,SV Samson,Right hand Bat,Unknown,Wicketkeeper,Sanju Viswanath Samson,Sanju Viswanath,No Image
12221,TM Srivastava,Left hand Bat,Right arm Medium,Unknown,Tanmay Manoj Srivastava,Tanmay Manoj,No Image
6036,Akash Singh,Right hand Bat,Left arm Medium fast,Unknown,Akash Maharaj Singh,Akash Maharaj,No Image
35030,R Shukla,Right hand Bat,Right arm Medium,Unknown,Rahul Shukla,Rahul Shukla,No Image
12160,A Kumble,Right hand Bat,Legbreak Googly,Unknown,Anil Kumble,Anil Kumble,No Image
12035,S Sohal,Right hand Bat,Legbreak,Unknown,Sunny Sohal,Sunny Sohal,No Image
